A0AQW4	TCP12_ARATH	AT1G68800
A0JPW5	A0JPW5_ARATH	AT3G21490
A0JQ06	A0JQ06_ARATH	AT4G18740
A0JQ16	A0JQ16_ARATH	AT1G67060
A0JQ66	A0JQ66_ARATH	AT1G19040
A0JQ67	A0JQ67_ARATH	AT1G32700
A0MEB5	CCA33_ARATH	AT1G47220
A0MES8	ABI4_ARATH	AT2G40220
A0NAA9	A0NAA9_ARATH	AT2G25210
A0NAB1	A0NAB1_ARATH	AT2G42300
A1A6G7	A1A6G7_ARATH	AT1G22920
A1A6H8	A1A6H8_ARATH	AT3G29100
A1A6J5	A1A6J5_ARATH	AT3G12250
A1A6K7	A1A6K7_ARATH	AT5G49710
A1A6M1	A1A6M1_ARATH	AT4G13670
A1A6N0	A1A6N0_ARATH	AT3G56720
A1L4U8	A1L4U8_ARATH	AT5G04320
A1L4W5	BPM6_ARATH	AT3G43700
A1L4W6	A1L4W6_ARATH	AT1G16290
A1L4W8	A1L4W8_ARATH	AT2G28930
A1L4X0	CLT2_ARATH	AT4G24460
A1L4X9	A1L4X9_ARATH	AT3G03340
A1L4Y7	A1L4Y7_ARATH	AT4G10400
A1L4Y9	A1L4Y9_ARATH	AT4G32660
A1YKT1	TCP18_ARATH	AT3G18550
A2RVK7	RP41L_ARATH	AT4G27490
A2RVL7	A2RVL7_ARATH	AT1G65310
A2RVM0	TIC32_ARATH	AT4G23430
A2RVQ5	AGL16_ARATH	AT3G57230
A2RVR7	A2RVR7_ARATH	AT2G47020
A2RVS6	SR34A_ARATH	AT3G49430
A2RVT9	A2RVT9_ARATH	AT5G38890
A2RVU1	A2RVU1_ARATH	AT1G31720
A2RVU4	A2RVU4_ARATH	AT4G08910
A2RVV7	FOLD1_ARATH	AT2G38660
A3KPF1	A3KPF1_ARATH	AT3G50080
A3KPF2	ANM14_ARATH	AT5G49020
A4D998	BH075_ARATH	AT1G25330
A4FVN8	A4FVN8_ARATH	AT1G10580
A4FVR1	GIP1L_ARATH	AT1G55820
A4FVR3	A4FVR3_ARATH	AT4G26440
A4FVT2	A4FVT2_ARATH	AT4G36250
A4GSN8	NUA_ARATH	AT1G79280
A4VCL7	A4VCL7_ARATH	AT4G34250
A5JM49	A5JM49_ARATH	AT5G10140
A5PHD1	A5PHD1_ARATH	AT5G49570
A6QRA0	A6QRA0_ARATH	AT3G19150
A6QRA1	NRPE7_ARATH	AT4G14660
A6XB86	A6XB86_ARATH	AT2G38880
A6XFC3	A6XFC3_ARATH	AT5G64920
A7BI37	A7BI37_ARATH	AT2G37260
A7L9U1	A7L9U1_ARATH	AT5G17430
A7RED0	A7RED0_ARATH	AT1G57760
A7REF6	A7REF6_ARATH	AT1G49435
A7XDQ9	B3GTK_ARATH	AT4G21060
A7XFU1	A7XFU1_ARATH	AT2G22540
A8MQ78	A8MQ78_ARATH	AT5G37720
A8MQ88	A8MQ88_ARATH	AT5G59010
A8MQ96	A8MQ96_ARATH	AT5G09510
A8MQA1	A8MQA1_ARATH	AT3G49010
A8MQD7	A8MQD7_ARATH	AT5G47210
A8MQD9	A8MQD9_ARATH	AT1G01800
A8MQE1	A8MQE1_ARATH	AT4G35110
A8MQE5	A8MQE5_ARATH	AT1G51980
A8MQE6	A8MQE6_ARATH	AT2G18860
A8MQE8	A8MQE8_ARATH	AT1G03520
A8MQF1	A8MQF1_ARATH	AT1G61150
A8MQF3	A8MQF3_ARATH	AT2G21385
A8MQG0	A8MQG0_ARATH	AT1G11850
A8MQG2	A8MQG2_ARATH	AT5G42520
A8MQG7	ASK20_ARATH	AT2G45950
A8MQG8	A8MQG8_ARATH	AT3G52050
A8MQH1	A8MQH1_ARATH	AT1G15690
A8MQH3	A8MQH3_ARATH	AT1G53730
A8MQH6	A8MQH6_ARATH	AT1G30475
A8MQH7	A8MQH7_ARATH	AT5G46840
A8MQJ8	A8MQJ8_ARATH	AT2G37680
A8MQK3	A8MQK3_ARATH	AT3G15020
A8MQK5	A8MQK5_ARATH	AT5G65210
A8MQK8	A8MQK8_ARATH	AT1G01100
A8MQL0	A8MQL0_ARATH	AT1G68590
A8MQL2	A8MQL2_ARATH	AT3G20130
A8MQL8	A8MQL8_ARATH	AT5G15230
A8MQL9	A8MQL9_ARATH	AT4G09960
A8MQM3	A8MQM3_ARATH	AT2G44530
A8MQN2	LNK1_ARATH	AT5G64170
A8MQN5	A8MQN5_ARATH	AT1G61150
A8MQP1	A8MQP1_ARATH	AT4G13940
A8MQP6	A8MQP6_ARATH	AT4G10480
A8MQQ1	A8MQQ1_ARATH	AT1G43170
A8MQQ8	A8MQQ8_ARATH	AT4G14910
A8MQR0	WIT2_ARATH	AT1G68910
A8MQR3	A8MQR3_ARATH	AT3G55070
A8MQR4	A8MQR4_ARATH	AT3G09200
A8MQS6	A8MQS6_ARATH	AT1G02160
A8MQW3	A8MQW3_ARATH	AT2G21270
A8MQX0	A8MQX0_ARATH	AT1G23080
A8MQY2	A8MQY2_ARATH	AT1G21350
A8MQY4	A8MQY4_ARATH	AT5G14740
A8MQZ1	A8MQZ1_ARATH	AT5G60360
A8MQZ5	A8MQZ5_ARATH	AT2G05510
A8MQZ8	A8MQZ8_ARATH	AT2G25355
A8MR02	A8MR02_ARATH	AT5G26280
A8MR04	A8MR04_ARATH	AT2G15400
A8MR05	A8MR05_ARATH	AT5G13630
A8MR07	A8MR07_ARATH	AT3G52990
A8MR09	A8MR09_ARATH	AT3G46010
A8MR12	A8MR12_ARATH	AT5G23540
A8MR18	A8MR18_ARATH	AT1G65390
A8MR23	A8MR23_ARATH	AT3G19460
A8MR24	A8MR24_ARATH	AT3G17860
A8MR27	A8MR27_ARATH	AT1G43190
A8MR31	A8MR31_ARATH	AT1G75060
A8MR34	A8MR34_ARATH	AT5G06839
A8MR36	A8MR36_ARATH	AT1G64710
A8MR38	A8MR38_ARATH	AT4G02725
A8MR39	A8MR39_ARATH	AT4G28640
A8MR40	A8MR40_ARATH	AT4G28480
A8MR41	A8MR41_ARATH	AT1G30620
A8MR45	A8MR45_ARATH	AT1G07705
A8MR50	A8MR50_ARATH	AT1G26880
A8MR57	A8MR57_ARATH	AT4G28830
A8MR61	A8MR61_ARATH	AT1G70830
A8MR62	A8MR62_ARATH	AT1G11480
A8MR65	A8MR65_ARATH	AT5G02200
A8MR70	A8MR70_ARATH	AT3G12250
A8MR72	A8MR72_ARATH	AT2G26210
A8MR75	A8MR75_ARATH	AT1G08920
A8MR76	A8MR76_ARATH	AT5G38470
A8MR80	A8MR80_ARATH	AT4G30845
A8MR82	A8MR82_ARATH	AT5G05210
A8MR92	A8MR92_ARATH	AT2G16710
A8MR96	A8MR96_ARATH	AT4G34460
A8MR97	A8MR97_ARATH	AT3G60240
A8MRA1	A8MRA1_ARATH	AT1G11850
A8MRC0	A8MRC0_ARATH	AT1G53910
A8MRC4	A8MRC4_ARATH	AT1G30230
A8MRC8	DF200_ARATH	AT5G59105
A8MRD1	A8MRD1_ARATH	AT5G05690
A8MRD5	A8MRD5_ARATH	AT3G07740
A8MRD7	A8MRD7_ARATH	AT3G15640
A8MRD8	A8MRD8_ARATH	AT3G27740
A8MRE8	A8MRE8_ARATH	AT2G21170
A8MRF0	A8MRF0_ARATH	AT2G16900
A8MRF3	A8MRF3_ARATH	AT1G29970
A8MRF4	A8MRF4_ARATH	AT4G37530
A8MRF8	A8MRF8_ARATH	AT3G01910
A8MRG1	A8MRG1_ARATH	AT2G21940
A8MRG4	A8MRG4_ARATH	AT4G32295
A8MRG6	A8MRG6_ARATH	AT1G75390
A8MRG7	A8MRG7_ARATH	AT4G00180
A8MRG8	A8MRG8_ARATH	AT4G20325
A8MRG9	A8MRG9_ARATH	AT5G44110
A8MRH2	A8MRH2_ARATH	AT4G33770
A8MRH3	A8MRH3_ARATH	AT1G70830
A8MRH4	A8MRH4_ARATH	AT2G01250
A8MRH8	A8MRH8_ARATH	AT5G63770
A8MRI1	A8MRI1_ARATH	AT1G27650
A8MRI9	A8MRI9_ARATH	AT4G35770
A8MRJ2	A8MRJ2_ARATH	AT2G37260
A8MRJ6	A8MRJ6_ARATH	AT1G55205
A8MRK6	A8MRK6_ARATH	AT2G19480
A8MRL0	A8MRL0_ARATH	AT4G40030
A8MRL6	A8MRL6_ARATH	AT2G18740
A8MRM0	A8MRM0_ARATH	AT1G14570
A8MRN2	A8MRN2_ARATH	AT2G31870
A8MRN6	A8MRN6_ARATH	AT1G60670
A8MRN9	A8MRN9_ARATH	AT1G04960
A8MRP1	A8MRP1_ARATH	AT5G09660
A8MRP9	A8MRP9_ARATH	AT2G05830
A8MRQ4	A8MRQ4_ARATH	AT4G13850
A8MRQ6	A8MRQ6_ARATH	AT4G23090
A8MRQ8	A8MRQ8_ARATH	AT4G17680
A8MRV0	A8MRV0_ARATH	AT5G41520
A8MRV1	A8MRV1_ARATH	AT1G07660
A8MRW0	A8MRW0_ARATH	AT1G16240
A8MRW1	A8MRW1_ARATH	AT2G45960
A8MRX1	A8MRX1_ARATH	AT2G01350
A8MRX2	A8MRX2_ARATH	AT5G18380
A8MRX4	A8MRX4_ARATH	AT5G47210
A8MRX9	A8MRX9_ARATH	AT5G60910
A8MRY5	A8MRY5_ARATH	AT3G63180
A8MRZ2	A8MRZ2_ARATH	AT3G26085
A8MRZ5	A8MRZ5_ARATH	AT1G18730
A8MRZ7	A8MRZ7_ARATH	AT3G13920
A8MRZ8	A8MRZ8_ARATH	AT1G09980
A8MS03	A8MS03_ARATH	AT4G31700
A8MS15	A8MS15_ARATH	AT5G14930
A8MS28	A8MS28_ARATH	AT4G15000
A8MS34	A8MS34_ARATH	AT1G50430
A8MS37	A8MS37_ARATH	AT3G14420
A8MS47	A8MS47_ARATH	AT5G62950
A8MS49	A8MS49_ARATH	AT5G58140
